Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSG00000272106	AL691432.2	1	-	1613758	1615795	0.000000	0.000000	0.000000
ENSG00000197530	MIB2	1	+	1615415	1630610	0.033669	26.336102	67.501335
ENSG00000272004	FO704657.1	1	+	1659325	1662602	0.000000	0.000000	0.000000
ENSG00000189339	SLC35E2B	1	-	1659529	1692728	0.077275	11.963271	30.662731
ENSG00000269737	AL691432.1	1	+	1671990	1674397	0.041506	13.669532	35.035999
ENSG00000008128	CDK11A	1	-	1702730	1724324	0.000000	0.000000	0.000000
ENSG00000268575	AL031282.2	1	-	1702736	1737688	0.054145	4.921188	12.613360
ENSG00000227775	AL031282.1	1	+	1724512	1737251	0.000000	0.000000	0.000000
ENSG00000215790	SLC35E2A	1	-	1724838	1745999	0.053244	7.596961	19.471561
ENSG00000008130	NADK	1	-	1751232	1780457	0.000000	0.000000	0.000000
ENSG00000078369	GNB1	1	-	1785285	1891117	0.395200	74.514481	190.986008
ENSG00000157916	RER1	1	+	2391775	2405444	0.146968	101.657852	260.556458
ENSG00000157911	PEX10	1	-	2403964	2413797	0.000000	0.000000	0.000000
ENSG00000157881	PANK4	1	-	2508533	2526628	0.029936	5.471248	14.023206
ENSG00000238164	TNFRSF14-AS1	1	-	2549920	2557031	0.098256	15.561114	39.884262
ENSG00000157873	TNFRSF14	1	+	2555639	2565382	0.093272	12.597586	32.288525
ENSG00000158109	TPRG1L	1	+	3625002	3630127	0.123861	11.257608	28.854067
ENSG00000116213	WRAP73	1	-	3630767	3652761	0.000000	0.000000	0.000000
ENSG00000078900	TP73	1	+	3652520	3736201	0.012940	5.273292	13.515829
ENSG00000227589	AL136528.1	1	-	3658938	3668772	0.000000	0.000000	0.000000
ENSG00000235131	AL136528.2	1	-	3712200	3714298	0.000000	0.000000	0.000000
ENSG00000227372	TP73-AS1	1	-	3735601	3747336	0.000000	0.000000	0.000000
ENSG00000276189	RF02197	1	+	3736943	3737103	0.000000	0.000000	0.000000
ENSG00000162592	CCDC27	1	+	3746460	3771645	0.000000	0.000000	0.000000
ENSG00000116198	CEP104	1	-	3812081	3857214	0.123362	16.779936	43.008194
ENSG00000158292	GPR153	1	-	6247346	6260975	0.133519	12.135414	31.103949
ENSG00000162408	NOL9	1	-	6521347	6554535	0.082134	8.188104	20.986704
ENSG00000253022	RNU6-731P	1	+	6540854	6540964	0.000000	0.000000	0.000000
ENSG00000229519	AL591866.1	1	+	6547905	6548619	0.000000	0.000000	0.000000
ENSG00000041988	THAP3	1	+	6624866	6635586	0.000000	0.000000	0.000000
ENSG00000007923	DNAJC11	1	-	6634168	6701924	0.000000	0.000000	0.000000
ENSG00000116251	RPL22	1	-	6181269	6209389	0.119875	84.918732	217.652863
ENSG00000226944	AL031847.1	1	-	6204840	6205780	0.000000	0.000000	0.000000
ENSG00000158286	RNF207	1	+	6205475	6221299	0.085450	13.033218	33.405079
ENSG00000116237	ICMT	1	-	6221193	6235972	0.123014	11.506372	29.491665
ENSG00000162413	KLHL21	1	-	6590724	6614607	0.016982	4.230703	10.843599
ENSG00000116273	PHF13	1	+	6613685	6624033	0.214072	19.456800	49.869190
ENSG00000131697	NPHP4	1	-	5862811	5992473	0.000000	0.000000	0.000000
ENSG00000069424	KCNAB2	1	+	5991466	6101193	0.010881	24.147038	61.890614
ENSG00000116288	PARK7	1	+	7954291	7985505	0.202892	169.481537	434.393463
ENSG00000200344	RF00019	1	-	7982881	7982983	0.000000	0.000000	0.000000
ENSG00000142583	SLC2A5	1	-	9035107	9088478	0.044972	6.568461	16.835442
ENSG00000252404	RF00424	1	+	9082696	9082879	0.000000	0.000000	0.000000
ENSG00000074800	ENO1	1	-	8861000	8879250	1.361763	310.488434	795.804382
ENSG00000274258	MIR6728	1	-	8866502	8866590	0.000000	0.000000	0.000000
ENSG00000230679	ENO1-AS1	1	+	8878835	8879894	0.000000	0.000000	0.000000
ENSG00000228526	MIR34AHG	1	-	9148011	9198906	0.027261	12.863891	32.971085
ENSG00000284357	MIR34A	1	-	9151668	9151777	0.000000	0.000000	0.000000
ENSG00000234546	LINC01759	1	+	9182004	9196284	0.000000	0.000000	0.000000
ENSG00000142599	RERE	1	-	8352397	8817643	0.025129	17.521046	44.907711
ENSG00000232912	AL096855.1	1	+	8424645	8434838	0.000000	0.000000	0.000000
ENSG00000221083	RF00599	1	-	8511795	8511919	0.000000	0.000000	0.000000
ENSG00000270282	AL096855.2	1	+	8512653	8513021	0.000000	0.000000	0.000000
ENSG00000234619	RPL7P11	1	+	8750430	8751087	0.000000	0.000000	0.000000
ENSG00000224315	RPL7P7	1	-	8786211	8786913	0.000000	0.000000	0.000000
ENSG00000222511	RF00019	1	-	8796571	8796673	0.000000	0.000000	0.000000
ENSG00000226545	AL357552.1	1	+	8798475	8799506	0.000000	0.000000	0.000000
ENSG00000228423	AL357552.2	1	-	8805860	8807051	0.000000	0.000000	0.000000
ENSG00000049239	H6PD	1	+	9234775	9271337	0.104590	14.787104	37.900417
ENSG00000188807	TMEM201	1	+	9588922	9614873	0.038305	7.127610	18.268581
ENSG00000171612	SLC25A33	1	+	9539482	9585179	0.155942	14.173421	36.327503
ENSG00000231181	AL954705.1	1	+	9576427	9576985	0.000000	0.000000	0.000000
ENSG00000162441	LZIC	1	-	9922113	9943407	0.071445	12.033528	30.842806
ENSG00000228150	AL357140.2	1	+	9942923	9949974	0.000000	0.000000	0.000000
ENSG00000173614	NMNAT1	1	+	9943428	9985501	0.000000	0.000000	0.000000
ENSG00000202415	RN7SKP269	1	+	9947318	9947636	0.000000	0.000000	0.000000
ENSG00000283611	AL357140.4	1	-	9950572	9960787	0.000000	0.000000	0.000000
ENSG00000265521	MIR5697	1	+	9967381	9967458	0.000000	0.000000	0.000000
ENSG00000241326	AL603962.1	1	+	9983141	9984568	0.000000	0.000000	0.000000
ENSG00000171608	PIK3CD	1	+	9651732	9729114	0.238484	68.791649	176.317978
ENSG00000179840	PIK3CD-AS1	1	-	9652610	9654586	0.000000	0.000000	0.000000
ENSG00000233268	AL691449.1	1	-	9660828	9662626	0.000000	0.000000	0.000000
ENSG00000231789	PIK3CD-AS2	1	-	9672426	9687555	0.000000	0.000000	0.000000
ENSG00000171603	CLSTN1	1	-	9729026	9824526	0.107214	10.375349	26.592770
ENSG00000271264	MZT1P1	1	+	9780822	9781240	0.000000	0.000000	0.000000
ENSG00000142657	PGD	1	+	10398592	10420144	0.279805	88.878494	227.802017
ENSG00000130939	UBE4B	1	+	10032832	10181239	0.045992	15.444413	39.585148
ENSG00000224340	AL590639.1	1	-	10054445	10054781	0.000000	0.000000	0.000000
ENSG00000233623	PGAM1P11	1	+	10058671	10059648	0.000000	0.000000	0.000000
ENSG00000201746	RNU6-828P	1	+	10163268	10163374	0.000000	0.000000	0.000000
ENSG00000271989	AL139424.1	1	-	10429881	10430677	0.000000	0.000000	0.000000
ENSG00000251503	CENPS-CORT	1	+	10430102	10452153	0.000000	0.000000	0.000000
ENSG00000175279	CENPS	1	+	10430443	10442809	0.000000	0.000000	0.000000
ENSG00000241563	CORT	1	+	10449719	10451902	0.154074	14.003640	35.892342
ENSG00000160049	DFFA	1	-	10456522	10472526	0.135458	13.515839	34.642071
ENSG00000203469	AL354956.1	1	+	10458555	10459338	0.000000	0.000000	0.000000
ENSG00000142655	PEX14	1	+	10472288	10630758	0.000000	0.000000	0.000000
ENSG00000243267	RN7SL614P	1	+	10616836	10617115	0.000000	0.000000	0.000000
ENSG00000054523	KIF1B	1	+	10210805	10381603	0.020853	6.874848	17.620733
ENSG00000264881	MIR1273D	1	+	10227718	10227803	0.000000	0.000000	0.000000
ENSG00000199562	RNU6-37P	1	+	10298966	10299072	0.000000	0.000000	0.000000
ENSG00000264501	RN7SL731P	1	+	10306465	10306757	0.000000	0.000000	0.000000
ENSG00000116649	SRM	1	-	11054584	11060024	0.000000	0.000000	0.000000
ENSG00000171824	EXOSC10	1	-	11066618	11099881	0.124938	24.275919	62.220943
ENSG00000226849	AL109811.1	1	+	11068471	11073097	0.000000	0.000000	0.000000
ENSG00000230337	AL109811.2	1	+	11099675	11102100	0.000000	0.000000	0.000000
ENSG00000120948	TARDBP	1	+	11012344	11026420	0.447873	97.965034	251.091492
ENSG00000277726	AL109811.4	1	+	11012662	11030528	0.000000	0.000000	0.000000
ENSG00000009724	MASP2	1	-	11026523	11047233	0.000000	0.000000	0.000000
ENSG00000271895	AL109811.3	1	+	11029659	11030528	0.347126	31.549955	80.864815
ENSG00000130940	CASZ1	1	-	10636604	10796650	0.023358	3.424336	8.776821
ENSG00000272078	AL139423.1	1	+	10639241	10654333	0.000000	0.000000	0.000000
ENSG00000116663	FBXO6	1	+	11664124	11674354	0.052521	17.998396	46.131191
ENSG00000198793	MTOR	1	-	11106535	11262507	0.099513	12.632487	32.377979
ENSG00000225602	MTOR-AS1	1	+	11143898	11149537	0.000000	0.000000	0.000000
ENSG00000253086	RNU6-537P	1	+	11152350	11152452	0.000000	0.000000	0.000000
ENSG00000171819	ANGPTL7	1	+	11189341	11195981	0.000000	0.000000	0.000000
ENSG00000207451	RNU6-291P	1	+	11226254	11226360	0.000000	0.000000	0.000000
ENSG00000238173	RPL39P6	1	+	11232963	11233112	0.000000	0.000000	0.000000
ENSG00000120942	UBIAD1	1	+	11273206	11296049	0.059108	11.267607	28.879692
ENSG00000238199	UBE2V2P3	1	-	11278616	11279351	0.000000	0.000000	0.000000
ENSG00000116685	KIAA2013	1	-	11919591	11926428	0.183785	19.469343	49.901337
ENSG00000215910	C1orf167	1	+	11761787	11789585	0.000000	0.000000	0.000000
ENSG00000177553	AL953897.1	1	-	11777077	11779619	0.000000	0.000000	0.000000
ENSG00000177000	MTHFR	1	-	11785723	11806920	0.025104	3.276278	8.397337
ENSG00000011021	CLCN6	1	+	11806096	11843144	0.087704	14.413732	36.943436
ENSG00000242349	NPPA-AS1	1	+	11841017	11848079	0.000000	0.000000	0.000000
ENSG00000276470	RF02156	1	+	11843812	11843984	0.000000	0.000000	0.000000
ENSG00000278852	RF02157	1	+	11845549	11845697	0.000000	0.000000	0.000000
ENSG00000175206	NPPA	1	-	11845709	11848345	0.000000	0.000000	0.000000
ENSG00000275915	RF02158	1	+	11847442	11847549	0.000000	0.000000	0.000000
ENSG00000116691	MIIP	1	+	12019466	12032045	0.105991	19.522879	50.038548
ENSG00000202461	RF00019	1	-	12024012	12024124	0.000000	0.000000	0.000000
ENSG00000276869	MIR6729	1	+	12029158	12029222	0.000000	0.000000	0.000000
ENSG00000116688	MFN2	1	+	11980181	12013514	0.117836	11.734050	30.075220
ENSG00000283789	MIR7846	1	+	12166943	12167038	0.000000	0.000000	0.000000
ENSG00000028137	TNFRSF1B	1	+	12167003	12209228	0.239511	22.259548	57.052830
ENSG00000263676	MIR4632	1	+	12191713	12191773	0.000000	0.000000	0.000000
ENSG00000120949	TNFRSF8	1	+	12063377	12144207	0.467034	43.047146	110.332954
ENSG00000201135	RNU6-777P	1	-	12077881	12077984	0.000000	0.000000	0.000000
ENSG00000227875	RPL23AP89	1	-	12080293	12080547	0.000000	0.000000	0.000000
ENSG00000116731	PRDM2	1	+	13700198	13825079	0.153324	44.978355	115.282784
ENSG00000048707	VPS13D	1	+	12230032	12512047	0.044154	33.594776	86.105843
ENSG00000239149	SNORA59A	1	+	12507246	12507397	0.000000	0.000000	0.000000
ENSG00000142634	EFHD2	1	+	15409895	15430343	0.353615	33.627857	86.190636
ENSG00000116138	DNAJC16	1	+	15526813	15592379	0.105337	27.542654	70.593819
ENSG00000251866	SCARNA21B	1	+	15542165	15542304	0.000000	0.000000	0.000000
ENSG00000272510	AL121992.3	1	-	15565611	15565956	0.000000	0.000000	0.000000
ENSG00000116771	AGMAT	1	-	15572353	15585110	0.115200	10.470419	26.836441
ENSG00000237301	AL121992.1	1	-	15586136	15603626	0.000000	0.000000	0.000000
ENSG00000197312	DDI2	1	+	15617500	15669044	0.218479	22.681273	58.133743
ENSG00000215695	RSC1A1	1	+	15659869	15661722	0.033172	3.014972	7.727591
ENSG00000116786	PLEKHM2	1	+	15684332	15734769	0.146531	13.318065	34.135162
ENSG00000237938	AL450998.3	1	-	15720312	15736896	0.000000	0.000000	0.000000
ENSG00000162461	SLC25A34	1	+	15736405	15741396	0.000000	0.000000	0.000000
ENSG00000224459	SLC25A34-AS1	1	-	15740051	15749896	0.000000	0.000000	0.000000
ENSG00000162460	TMEM82	1	+	15742422	15747982	0.000000	0.000000	0.000000
ENSG00000179743	AL450998.2	1	-	15834474	15848147	0.000000	0.000000	0.000000
ENSG00000065526	SPEN	1	+	15847864	15940460	0.154503	17.335178	44.431316
ENSG00000270620	AL034555.1	1	-	15917698	15917908	0.000000	0.000000	0.000000
ENSG00000055070	SZRD1	1	+	16352575	16398145	0.066421	49.594070	127.113182
ENSG00000226457	RPL22P3	1	-	16369150	16369530	0.000000	0.000000	0.000000
ENSG00000187144	SPATA21	1	-	16387117	16437424	0.000000	0.000000	0.000000
ENSG00000206652	RNU1-1	1	-	16514122	16514285	0.308537	28.042635	71.875305
ENSG00000157191	NECAP2	1	+	16440672	16460078	0.085953	24.716549	63.350307
ENSG00000219481	NBPF1	1	-	16562319	16613562	0.000000	0.000000	0.000000
ENSG00000215908	CROCCP2	1	-	16618253	16657232	0.000000	0.000000	0.000000
ENSG00000283773	AL137798.3	1	-	16642767	16643109	0.000000	0.000000	0.000000
ENSG00000186301	MST1P2	1	+	16645622	16650289	0.000000	0.000000	0.000000
ENSG00000282143	AL137798.2	1	+	16656879	16667524	0.000000	0.000000	0.000000
ENSG00000207513	RNU1-3	1	-	16666785	16666948	0.797561	72.489563	185.796005
ENSG00000117118	SDHB	1	-	17018722	17054170	0.018507	20.053488	51.398540
ENSG00000227751	AC004824.1	1	+	17406760	17407382	0.000000	0.000000	0.000000
ENSG00000179051	RCC2	1	-	17406760	17439724	0.689045	63.224247	162.048309
ENSG00000282740	AL021920.3	1	-	16739938	16750589	0.000000	0.000000	0.000000
ENSG00000058453	CROCC	1	+	16740273	16972979	0.000000	0.000000	0.000000
ENSG00000227684	CROCCP4	1	+	16740280	16750968	0.000000	0.000000	0.000000
ENSG00000207389	RNU1-4	1	+	16740516	16740679	0.308537	28.042635	71.875305
ENSG00000186715	MST1L	1	-	16754910	16770237	0.000000	0.000000	0.000000
ENSG00000223643	BX284668.1	1	-	16851257	16853129	0.000000	0.000000	0.000000
ENSG00000230239	BX284668.3	1	+	16855407	16859284	0.000000	0.000000	0.000000
ENSG00000263811	MIR3675	1	-	16858949	16859021	0.000000	0.000000	0.000000
ENSG00000228549	BX284668.2	1	+	16870945	16874092	0.000000	0.000000	0.000000
ENSG00000277234	RNU1-5P	1	+	16873708	16873851	0.000000	0.000000	0.000000
ENSG00000238142	BX284668.5	1	-	16888538	16889649	0.000000	0.000000	0.000000
ENSG00000235241	BX284668.4	1	+	16889095	16889602	0.000000	0.000000	0.000000
ENSG00000207005	RNU1-2	1	+	16895980	16896143	0.925610	84.127815	215.625687
ENSG00000272426	BX284668.6	1	-	16904339	16904776	0.000000	0.000000	0.000000
ENSG00000179002	TAS1R2	1	-	18839599	18859682	0.000000	0.000000	0.000000
ENSG00000255275	AL080251.1	1	-	18849273	18921121	0.000000	0.000000	0.000000
ENSG00000159423	ALDH4A1	1	-	18871430	18902781	0.000000	0.000000	0.000000
ENSG00000265606	MIR4695	1	-	18883202	18883275	0.000000	0.000000	0.000000
ENSG00000221662	MIR1290	1	-	18897071	18897148	0.000000	0.000000	0.000000
ENSG00000169991	IFFO2	1	-	18904281	18956686	0.145928	13.263258	33.994690
ENSG00000053371	AKR7A2	1	-	19303965	19312146	0.253790	30.162897	77.309685
ENSG00000200403	RNU6-1099P	1	-	19305076	19305182	0.000000	0.000000	0.000000
ENSG00000230424	AL035413.1	1	+	19210501	19240704	0.000000	0.000000	0.000000
ENSG00000127463	EMC1	1	-	19215664	19251552	0.000000	0.000000	0.000000
ENSG00000053372	MRTO4	1	+	19251539	19260128	0.000000	0.000000	0.000000
ENSG00000272084	AL137127.1	1	-	19072110	19075511	0.000000	0.000000	0.000000
ENSG00000127481	UBR4	1	-	19074506	19210276	0.456304	89.558525	229.544998
ENSG00000173436	MINOS1	1	+	19596977	19629821	0.054390	48.152836	123.419212
ENSG00000158747	NBL1	1	+	19596979	19658456	0.018202	12.553778	32.176243
ENSG00000270136	MINOS1-NBL1	1	+	19597067	19656927	0.000000	0.000000	0.000000
ENSG00000226396	AL031727.1	1	+	19608114	19608568	0.000000	0.000000	0.000000
ENSG00000158748	HTR6	1	+	19665287	19679562	0.129335	11.755136	30.129263
ENSG00000077549	CAPZB	1	-	19338776	19485539	0.049815	103.099365	264.251129
ENSG00000240490	RN7SL277P	1	+	19424384	19424671	0.000000	0.000000	0.000000
ENSG00000162542	TMCO4	1	-	19682213	19799945	0.000000	0.000000	0.000000
ENSG00000169914	OTUD3	1	+	19882513	19912945	0.043594	4.191349	10.742730
ENSG00000189410	SH2D5	1	-	20719732	20732837	0.000000	0.000000	0.000000
ENSG00000158828	PINK1	1	+	20633455	20651511	0.000000	0.000000	0.000000
ENSG00000284005	MIR6084	1	+	20633679	20633788	0.000000	0.000000	0.000000
ENSG00000117242	PINK1-AS	1	-	20642657	20652193	0.067747	6.157461	15.782018
ENSG00000244038	DDOST	1	-	20651767	20661544	0.110989	12.910880	33.091522
ENSG00000127483	HP1BP3	1	-	20742661	20787323	0.340856	103.832657	266.130615
ENSG00000076864	RAP1GAP	1	-	21596215	21669363	0.000000	0.000000	0.000000
ENSG00000117298	ECE1	1	-	21217247	21345504	0.021539	26.042168	66.747963
ENSG00000236936	AL031005.1	1	+	21266082	21267251	0.000000	0.000000	0.000000
ENSG00000231105	AL031728.1	1	+	21293290	21299774	0.000000	0.000000	0.000000
ENSG00000187942	LDLRAD2	1	+	21812265	21825221	0.000000	0.000000	0.000000
ENSG00000142798	HSPG2	1	-	21822245	21937297	0.000000	0.000000	0.000000
ENSG00000232037	AL590556.1	1	+	21908098	21908580	0.000000	0.000000	0.000000
ENSG00000075151	EIF4G3	1	-	20806292	21176888	0.021656	16.033192	41.094234
ENSG00000251914	RNU7-200P	1	+	20841241	20841302	0.000000	0.000000	0.000000
ENSG00000221808	MIR1256	1	-	20988314	20988432	0.000000	0.000000	0.000000
ENSG00000233072	RPS15AP6	1	-	21003550	21003934	0.000000	0.000000	0.000000
ENSG00000236073	AL627311.1	1	-	21073639	21073753	0.000000	0.000000	0.000000
ENSG00000235112	HSPE1P27	1	+	21161475	21162081	0.023649	2.149435	5.509158
ENSG00000090686	USP48	1	-	21678298	21783606	0.251015	111.684013	286.254211
ENSG00000231978	AL590103.1	1	+	21768269	21768575	0.000000	0.000000	0.000000
ENSG00000070831	CDC42	1	+	22052627	22092946	0.186321	213.685989	547.692627
ENSG00000230068	CDC42-IT1	1	+	22059197	22064199	0.000000	0.000000	0.000000
ENSG00000271428	AL031281.1	1	-	22068340	22068827	0.000000	0.000000	0.000000
ENSG00000228397	LINC01635	1	-	22023990	22026048	0.000000	0.000000	0.000000
ENSG00000218510	LINC00339	1	+	22024558	22031223	0.016044	41.350430	105.984146
ENSG00000184677	ZBTB40	1	+	22451851	22531157	0.033363	3.032331	7.772085
ENSG00000237200	ZBTB40-IT1	1	+	22517474	22519708	0.000000	0.000000	0.000000
ENSG00000261326	LINC01355	1	-	23281309	23286752	0.218773	19.884071	50.964314
ENSG00000004487	KDM1A	1	+	23019443	23083689	0.042463	7.347925	18.833265
ENSG00000240553	AL031428.1	1	-	23020147	23088058	0.000000	0.000000	0.000000
ENSG00000263793	MIR3115	1	+	23044305	23044372	0.000000	0.000000	0.000000
ENSG00000266802	MIR4419A	1	-	23057858	23057934	0.000000	0.000000	0.000000
ENSG00000169641	LUZP1	1	-	23084023	23177808	0.060509	6.149189	15.760818
ENSG00000229010	AL161672.1	1	+	23140325	23141142	0.000000	0.000000	0.000000
ENSG00000206935	RNU6-514P	1	+	23162704	23162810	0.000000	0.000000	0.000000
ENSG00000252578	RNU6-135P	1	+	23163953	23164053	0.000000	0.000000	0.000000
ENSG00000125945	ZNF436	1	-	23359448	23369442	0.068761	6.742423	17.281317
ENSG00000249087	ZNF436-AS1	1	+	23368997	23371839	0.000000	0.000000	0.000000
ENSG00000201405	RF00019	1	+	23370254	23370346	0.000000	0.000000	0.000000
ENSG00000142676	RPL11	1	+	23691742	23696835	0.304203	128.926758	330.448608
ENSG00000125944	HNRNPR	1	-	23303771	23344336	0.298059	51.088646	130.943893
ENSG00000011007	ELOA	1	+	23743155	23762059	0.059560	10.651379	27.300255
ENSG00000236810	ELOA-AS1	1	-	23760382	23778287	0.000000	0.000000	0.000000
ENSG00000057757	PITHD1	1	+	23778405	23788232	0.236563	34.189735	87.630768
ENSG00000117305	HMGCL	1	-	23801885	23838620	0.000000	0.000000	0.000000
ENSG00000117308	GALE	1	-	23795599	23800804	0.151332	30.700411	78.687386
ENSG00000179163	FUCA1	1	-	23845077	23868294	0.363459	33.034443	84.669670
ENSG00000188822	CNR2	1	-	23870526	23913362	0.114770	10.431336	26.736271
ENSG00000229106	BTBD6P1	1	-	23901471	23902737	0.813733	73.959419	189.563354
ENSG00000232557	AL590609.3	1	+	23907111	23907885	0.000000	0.000000	0.000000
ENSG00000189266	PNRC2	1	+	23959109	23963462	0.034917	33.435719	85.698166
ENSG00000185436	IFNLR1	1	-	24154157	24187959	0.061345	6.033943	15.465431
ENSG00000188529	SRSF10	1	-	23964804	23980927	0.285376	93.503929	239.657349
ENSG00000133226	SRRM1	1	+	24631716	24673267	0.049229	13.663986	35.021790
ENSG00000169504	CLIC4	1	+	24745357	24844324	0.967930	104.168671	266.991852
ENSG00000238482	RNU6-1208P	1	-	24777873	24777979	0.000000	0.000000	0.000000
ENSG00000233755	AL050344.1	1	-	25043707	25113120	0.000000	0.000000	0.000000
ENSG00000284602	AL031432.4	1	+	25232586	25234775	0.137900	12.533600	32.124527
ENSG00000117614	SYF2	1	-	25222679	25232502	0.268249	61.088261	156.573624
ENSG00000020633	RUNX3	1	-	24899511	24965121	0.261125	24.734091	63.395271
ENSG00000278034	MIR6731	1	-	24919345	24919416	0.000000	0.000000	0.000000
ENSG00000229162	AL445471.1	1	+	24961345	24963097	0.153559	13.956831	35.772369
ENSG00000117616	RSRP1	1	-	25242237	25338213	0.009382	25.557732	65.506310
ENSG00000272432	AL031432.3	1	+	25247837	25248321	0.000000	0.000000	0.000000
